"","mariners_home","seahawks_home","sounders_home","trav_holiday","dang_holiday","night","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","day_num","zone1","zone2","zone3","zone4","zone5","zone6","zone7","seasonality","freq"
"101",1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1.87812361296,24
"102",1,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,1.87812361296,14
"103",1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,1.88622350295,16
"104",1,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,1.88622350295,24
"105",1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,1.88622350295,33
"106",1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,1.88622350295,42
"107",1,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,1.88622350295,30
"108",1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,1.88622350295,31
"109",1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,1.88622350295,16
"110",1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,1,0,1.88622350295,7
"111",1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,1,0,0,0,1.88622350295,5
"112",1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,0,0,0,0,1.88622350295,9
"113",1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,1,1.88622350295,8
"114",1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,1.88622350295,7
"115",1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,1.88622350295,6
"116",1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,1,0,0,0,0,1.88622350295,5
"117",1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1.88622350295,2
"118",1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,1.89406114515,38
"119",1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1.89406114515,24
"120",1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,1.89406114515,21
"121",1,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,1.89406114515,37
"122",1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,1.89406114515,16
"123",1,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,1.89406114515,34
"124",1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,1.89406114515,42
"125",1,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,1,0,0,0,1.89406114515,8
"126",1,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,1,0,0,1.89406114515,12
"127",1,0,0,0,0,1,0,0,0,0,0,1,8,0,0,1,0,0,0,0,1.89406114515,4
"128",1,0,0,0,0,1,0,0,0,0,0,1,8,0,1,0,0,0,0,0,1.89406114515,6
"129",1,0,0,0,0,1,0,0,0,0,0,1,8,1,0,0,0,0,0,0,1.89406114515,12
"130",1,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1.89406114515,4
"131",1,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,1,0,1.89406114515,4
"132",1,0,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1.90163422027,41
"133",1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,1.90163422027,50
"134",1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,1.90163422027,44
"135",1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,1.90163422027,21
"136",1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,1.90163422027,44
"137",1,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,1.90163422027,20
"138",1,0,0,0,0,1,0,0,0,1,0,0,9,0,1,0,0,0,0,0,1.90163422027,10
"139",1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,1,0,0,1.90163422027,7
"140",1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,1,0,0,0,1.90163422027,8
"141",1,0,0,0,0,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1.90163422027,9
"142",1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,1,1.90163422027,4
"143",1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,1,0,1.90163422027,4
"144",1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,1,0,0,0,0,1.90163422027,1
"145",1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,1.90163422027,10
"146",1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1.90163422027,1
"147",1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1.90894048731,44
"148",1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1.90894048731,21
"149",1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1.90894048731,22
"150",1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1.90894048731,34
"151",1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1.90894048731,29
"152",1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1.90894048731,43
"153",1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1.90894048731,30
"154",1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1.90894048731,11
"155",1,0,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1.90894048731,14
"156",1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1.90894048731,6
"157",1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1.90894048731,7
"158",1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1.90894048731,7
"159",1,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1.90894048731,13
"160",1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1.90894048731,1
"161",1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1.90894048731,4
"162",1,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,1.91597778425,30
"163",1,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,1.91597778425,29
"164",1,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,1,0,0,1.91597778425,34
"165",1,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,1.91597778425,24
"166",1,0,0,0,0,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,1.91597778425,22
"167",1,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,1.91597778425,28
"168",1,0,0,0,0,1,0,1,0,0,0,0,11,0,0,0,1,0,0,0,1.91597778425,12
"169",1,0,0,0,0,1,0,1,0,0,0,0,11,1,0,0,0,0,0,0,1.91597778425,13
"170",1,0,0,0,0,1,0,1,0,0,0,0,11,0,0,0,0,1,0,0,1.91597778425,9
"171",1,0,0,0,0,1,0,1,0,0,0,0,11,0,0,1,0,0,0,0,1.91597778425,8
"172",1,0,0,0,0,1,0,1,0,0,0,0,11,0,1,0,0,0,0,0,1.91597778425,7
"173",1,0,0,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,1,0,1.91597778425,3
"174",1,0,0,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,1,1.91597778425,10
"175",1,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,1.91597778425,36
"176",1,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,1,1.92274402862,33
"177",1,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0,1.92274402862,35
"178",1,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0,1.92274402862,28
"179",1,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,1.92274402862,22
"180",1,0,1,0,0,0,0,0,1,0,0,0,12,0,1,0,0,0,0,0,1.92274402862,16
"181",1,0,1,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,1.92274402862,27
"182",1,0,1,0,0,0,0,0,1,0,0,0,12,0,0,1,0,0,0,0,1.92274402862,14
"183",1,0,1,0,0,1,0,0,1,0,0,0,12,0,1,0,0,0,0,0,1.92274402862,5
"184",1,0,1,0,0,1,0,0,1,0,0,0,12,0,0,0,0,0,1,0,1.92274402862,8
"185",1,0,1,0,0,1,0,0,1,0,0,0,12,0,0,0,0,1,0,0,1.92274402862,9
"186",1,0,1,0,0,1,0,0,1,0,0,0,12,0,0,1,0,0,0,0,1.92274402862,4
"187",1,0,1,0,0,1,0,0,1,0,0,0,12,0,0,0,0,0,0,1,1.92274402862,11
"188",1,0,1,0,0,1,0,0,1,0,0,0,12,0,0,0,1,0,0,0,1.92274402862,6
"189",1,0,1,0,0,1,0,0,1,0,0,0,12,1,0,0,0,0,0,0,1.92274402862,13
"190",1,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,1.92274402862,1
"191",0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,1,0,0,1.92923721819,41
"192",0,0,0,0,0,0,1,0,0,0,0,0,13,0,1,0,0,0,0,0,1.92923721819,20
"193",0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,1,0,0,0,1.92923721819,29
"194",0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,1.92923721819,27
"195",0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,1,1.92923721819,23
"196",0,0,0,0,0,1,1,0,0,0,0,0,13,0,0,0,0,0,1,0,1.92923721819,5
